numbers,valid,location
(635) 474-8673,False,n/a
(489) 690-3885,False,n/a
(213) 416-0509,True,"Los Angeles, CA"
(365) 941-4841,True,Ontario
(673) 417-8767,False,n/a
(571) 418-4208,True,Virginia
(859) 200-8501,True,Kentucky
(407) 809-1995,True,Florida
(588) 266-1298,True,n/a
(490) 456-6588,False,n/a
(676) 988-9210,False,n/a
(862) 559-1985,True,New Jersey
(351) 318-2421,True,Massachusetts
(441) 712-1593,True,n/a
(925) 294-5726,True,California
(237) 767-8148,False,n/a
(867) 741-1672,True,Northwest Territories/Nunavut/Yukon
(635) 764-4907,False,n/a
(978) 877-9459,True,Massachusetts
(558) 334-3713,False,n/a
(456) 264-4414,False,n/a
(677) 794-9197,False,n/a
(339) 880-1728,True,Massachusetts
(508) 535-6850,True,Massachusetts
(361) 984-1710,True,Texas
(337) 818-5394,True,Louisiana
(236) 294-6387,True,British Columbia
(486) 946-9416,False,n/a
(975) 361-3375,False,n/a
(870) 677-0276,True,Arkansas
(289) 534-9513,True,Ontario
(900) 293-2619,True,n/a
(605) 405-9849,True,South Dakota
(865) 765-0729,True,Tennessee
(632) 752-9648,False,n/a
(760) 277-8351,True,California
(481) 861-4017,False,n/a
(917) 557-6214,True,New York
(438) 813-8116,True,Quebec
(975) 455-7357,False,n/a
(512) 577-9599,True,Texas
(312) 826-6096,True,"Chicago, IL"
(348) 513-3442,False,n/a
(847) 349-7664,True,Illinois
(336) 942-5381,True,North Carolina
(786) 686-9876,True,Florida
(878) 511-2639,True,Pennsylvania
(281) 462-3697,True,Texas
(700) 538-4157,False,n/a
(865) 258-6684,True,Tennessee
(640) 641-5319,True,New Jersey
(774) 342-3610,True,Massachusetts
(641) 973-3307,True,Iowa
(241) 513-8314,False,n/a
(579) 541-2827,True,Quebec
(336) 909-4729,True,North Carolina
(653) 207-3670,False,n/a
(211) 440-1607,False,n/a
(404) 950-7067,True,Georgia
(893) 390-9234,False,n/a
(549) 360-5276,False,n/a
(769) 581-6584,True,Mississippi
(208) 913-0246,True,Idaho
(297) 819-9799,False,n/a
(245) 424-5725,False,n/a
(724) 358-6437,True,Pennsylvania
(455) 963-0484,False,n/a
(688) 998-4909,False,n/a
(319) 462-3939,True,Iowa
(526) 921-3983,False,n/a
(760) 289-4838,True,California
(631) 316-3837,True,New York
(866) 918-0583,True,n/a
(368) 580-7050,False,n/a
(885) 282-5893,False,n/a
(258) 655-5840,False,n/a
(432) 908-5045,True,Texas
(962) 967-4965,False,n/a
(677) 444-2216,False,n/a
(639) 586-5917,True,Saskatchewan
(829) 958-0516,True,n/a
(718) 278-6631,True,n/a
(919) 570-4504,True,North Carolina
(966) 237-7108,False,n/a
(354) 272-8766,False,n/a
(547) 242-0117,False,n/a
(707) 899-8708,True,California
(629) 924-7609,True,Tennessee
(557) 680-0182,False,n/a
(355) 969-0289,False,n/a
(354) 887-8757,False,n/a
(582) 717-7598,False,n/a
(644) 283-4621,False,n/a
(260) 767-3006,True,Indiana
(681) 957-5006,True,West Virginia
(782) 312-8469,True,Nova Scotia/Prince Edward Island
(543) 647-7136,False,n/a
(357) 893-1479,False,n/a
(804) 352-0937,True,Virginia
(351) 413-6263,True,Massachusetts
(411) 359-0765,False,n/a
(767) 858-9407,False,n/a
(896) 903-6638,False,n/a
(978) 715-7106,True,Massachusetts
(290) 413-8581,False,n/a
(289) 639-4672,True,Ontario
